Type,TypeName,Date,Title,AppropriatePrice,Investment opinion,Offer,File
친환경,한화솔루션,2020.08.27,석유화학의 턴어라운드에 더해질 그린에너지,"46,000원",매수,하나금융투자,HHSolution_3Q Preivew_20200827.pdf
친환경,한화솔루션,2020.08.12,전 분기에 이어 어닝 서프라이즈 기록,"41,000원",매수(유지),키움증권,기업브리프-한화솔루션-20200812.pdf
친환경,한화솔루션,2020.08.12,완성체를 위한 퍼즐을 맞춰가는 중,"45,000원",매수,메리츠증권,568387.pdf
친환경,한화솔루션,2020.07.15,2Q20 Preview: 우려 대비 양호한 실적,"25,000원",매수,메리츠증권,565970.pdf
친환경,한화솔루션,2020.05.13,실적 서프라이즈. 높아진 태양광의 이익 체력을 입증,"24,000원",매수(유지),하나금융투자,HHSolution_1Q20 Review_20200513.pdf
친환경,한화솔루션,2020.05.13,우려가 없으면 기회도 없다.,"22,000원",매수(유지),DB금융투자증권,20200513_009830_150205_260.pdf
친환경,한화솔루션,2020.04.17,"상반기는 케미칼, 하반기는 태양광에 집중하자","25,000원",매수,키움증권,기업브리프-한화솔루션-20200417_수정.pdf
친환경,한화솔루션,2020.02.26,성장이 덕목인 시대. 최적의 대안,"29,000원",매수,DB금융투자증권,20200226_009830_150205_246.pdf
친환경,한화솔루션,2020.02.21,"2020년, 본격적으로 태양광업체의 Identity를 입는다","27,000원",매수,하나금융투자,HHSolution_4Q19 Review_20200220.pdf
친환경,한화솔루션,2020.01.20,"태양광, All is Well","25,000원",매수,메리츠종금증권,20200119140738386K_02.pdf
친환경,한화케미칼,2020.01.13,"올해 태양광 이익 비중, 60% 상회 전망","30,000원",매수,키움증권,기업브리프-한화케미칼-20200113.pdf
친환경,한화케미칼,2019.12.13,연간 실적 개선이 최대 장점,"27,000원",매수,DB금융투자증권,20191213_009830_150205_235.pdf
친환경,한화케미칼,2019.11.14,주력 사업부문의 실적 개선 효과,"30,000원",매수,키움증권,기업브리프-한화케미칼-20191114.pdf
친환경,한화케미칼,2019.11.14,태양광이 견읶한 실적 서프라이즈. 과도한 저평가 해소 예상,"27,000원",매수,하나금융투자,HHChem_3Q19 Review_20191114.pdf
친환경,한화케미칼,2019.10.07,"답 없는 화학, 기대해볼 것은 태양광","22,000원",매수,SK증권,I001_20191005141929_2501138.pdf
친환경,한화케미칼,2019.08.08,셀/모듈 ASP 상승 확인. 하반기 태양광 뚜렷한 개선 전망,"30,000원",매도,하나금융투자,HHChem_2Q19 Review_20190808_1.pdf
친환경,한화케미칼,2019.08.08,눈높이는 낮추지만 방향성을 바뀌지 않는다,"27,000원",매수,DB증권,20190808_009830_150205_216.pdf
친환경,한화케미칼,2019.07.29,반가운 TDI 반등,"28,000원",매수,메리츠종금증권,20190728151521247K_02.pdf
친환경,한화케미칼,2019.07.11,이익이 성장하는 드문 화학 기업 ,"31,000원",매수,DB증권,20190711_009830_150205_208.pdf
친환경,한화케미칼,2019.07.02,1 년 전과 판이하게 다른 화학과 태양광의 이중고,"25,000원",매수,SK증권,I001_20190625214351_2501138.pdf
친환경,한화케미칼,2019.06.19,브라질의 수급변화로 아시아 PVC/가성소다 동반 상승 예상,"28,000원",매수,하나금융투자,HHC_Update_20190619.pdf
친환경,한화케미칼,2019.05.09,"올해 1분기 영업이익, 시장 기대치 상회","30,000원",매수,키움증권,기업브리프-한화케미칼-20190509.pdf
친환경,한화케미칼,2019.05.09,태양광 실적 불확실성 해소,"31,000원",매수,DB증권,20190509_009830_150205_203.pdf
친환경,한화케미칼,2019.05.09,사업부별 이익 비중 변화의 시작,"28,000원",매수,메리츠종금증권,20190508221252443K_02.pdf
친환경,한화케미칼,2019.04.01,공격적으로 사긴 애매하다,"25,000원",매수,SK증권,I001_20190330125159_2501138.pdf
친환경,한화케미칼,2019.03.14,"올해 모듈 출하량, 작년 대비 60~84% 증가 전망","30,000원",매수(유지),키움증권,기업브리프-한화케미칼-20190314.pdf
친환경,한화케미칼,2019.03.04,"PVC/CA, 2030년까지 장기 호황 지속될 전망","28,000원",매수(유지),키움증권,기업브리프-한화케미칼-20190304.pdf
친환경,한화케미칼,2019.02.21,Re-rating,"28,000원",매수(유지),메리츠종금증권,20190220133554662K_02.pdf
친환경,한화케미칼,2019.02.21,"진부하지만, 비가 온 뒤에는 땅이 굳는다.","28,000원",매수,DB증권,20190221_009830_150205_192.pdf
친환경,한화케미칼,2019.01.29,"올해 상반기, PVC 턴어라운드 전망","28,000원",매수(유지),키움증권,기업브리프-한화케미칼-20190129.pdf
친환경,한화케미칼,2019.01.18,바닥을 짚고 돌아설 태양광,"26,000원",매수(유지),HI투자증권,[17184205]_009830.pdf
친환경,한화케미칼,2019.01.10,"4분기 실적, 기대치를 낮출 것","25,000원",매수(유지),키움증권,기업브리프-한화케미칼-20190110.pdf
친환경,한화케미칼,2018.11.14,추정치 하향 마무리 국면,"28,000원",매수(유지),DB증권,20181114_009830_150205_183.pdf
친환경,한화케미칼,2018.11.14,시장 기대치를 크게 하회하는 실적,"21,000원",매수,HI투자증권,[14071724]_009830.pdf
친환경,한화케미칼,2018.10.15,바닥을 지나는 중입니다,"21,000원",매수(유지),HI투자증권,[15072758]_009830.pdf
친환경,한화케미칼,2018.10.01,3Q18 Preview: 화학부문의 실적부진 불가피,"27,000원",매수,SK증권,I001_20180929223927_2501138.pdf
친환경,한화케미칼,2018.09.14,만연한 우려 가운데 긍정 찾기,"32,000원",매수(유지),DB증권,20180914_009830_150205_174.pdf
친환경,한화케미칼,2018.09.12,"PX 스프레드 개선, 수혜주","31,000원",매수(유지),키움증권,기업브리프-한화케미칼-20180912.pdf
친환경,한화케미칼,2018.08.16,이익 체력을 고려할 때 ,"37,000원",매수,DB증권,20180816_009830_150205_171.pdf
친환경,한화케미칼,2018.08.16,"올해 2분기 영업이익, 시장 기대치 상회","36,000원",매수,키움증권,기업브리프-한화케미칼-20180816.pdf
친환경,한화케미칼,2018.07.11,"올해 3Q, 가성소다 가격 반등이 예상되는 이유는?","36,000원",매수(유지),키움증권,기업브리프-한화케미칼-20180711.pdf
친환경,한화케미칼,2018.07.09,2Q18 Preview: 미국 화학 수출물량의 직접적 부담,"30,000원",매수,SK증권,I001_20180707165756_2501138.pdf
친환경,한화케미칼,2018.05.15,"유가상승 여파로, 실적모멘텀 약화 진행 중!","27,000원",매수,유안타증권,20180514144645523_5.pdf
친환경,한화케미칼,2018.05.15,바닥권을 통화하는 실적과 주가,"45,000원",매수,메리츠종금증권,20180514200534304K_02.pdf
친환경,한화케미칼,2018.05.15,이익의 무게,"46,000원",매수,DB증권,20180515_009830_150205_160.pdf
친환경,한화케미칼,2018.05.15,저평가된 국내 화학주 중에서도 가장 저평가 업체,"44,000원",매수,키움증권,기업브리프-한화케미칼-20180515.pdf
친환경,한화케미칼,2018.05.02,"한화 화학사, 전방위적 신증설 진행 중","44,000원",매수,키움증권,기업브리프-한화케미칼-20180502.pdf
친환경,한화케미칼,2018.04.23,"1Q 세전이익, 전 분기 대비 1,007.8% 증가 전망","44,000원",매수,키움증권,기업브리프-한화케미칼-20180423(0).pdf
친환경,한화케미칼,2018.04.02,"2016 년 큐셀, 2017 년 화학 M&A, 2018 년은?","39,000원",매수,SK증권,I001_20180401121258_2501138.pdf
친환경,한화케미칼,2018.03.28,"TDI, 연말까지 호황을 즐기자!","45,000 원",매수,메리츠종금증권,20180327082926776K_02.pdf
친환경,한화케미칼,2018.02.23,"안정적 이익 개선 기조 확인, 관건은 주가 회복","45,000원",매수,메리츠종금증권,20180222091332085K_02.pdf
친환경,한화케미칼,2018.02.23,일회성 비용에 기인한 수익성 둔화,"42,000원",매수,키움증권,한화케미칼 - 4분기 리뷰.pdf
친환경,한화케미칼,2018.01.18,4Q17 Preview: 더 이상 소외될 이유 없다!,"45,000원",매수,메리츠종금증권,20180116150836425K_02.pdf
친환경,한화케미칼,2018.01.08,"2016년 태양광, 2017년 화학, 2018년은 무엇일까?","39,000원",매수,SK증권,I001_20180106155134_2501138.pdf
친환경,한화케미칼,2017.11.13,2018년에도 가성소다와 TDI는 맑음,"42,000원",매수,HI투자증권,[10201108]_009830.pdf
친환경,한화케미칼,2017.11.13,"갈수록 강화되는 화학부문 이익 창출력, 아쉬웠던 태양광 일회성 요인","45,000원",매수,메리츠종금증권,20171112134454512K_02.pdf
친환경,한화케미칼,2017.11.13,리테일 부문 개선과 기초소재 호조 지속,"38,000원",매수,키움증권,한화케미칼 - 3분기 리뷰.pdf
친환경,한화케미칼,2017.10.16,기초소재 실적이 태양광사업 불확실성 메울 것,"42,000원",매수,HI투자증권,[15184248]_009830.pdf
친환경,한화케미칼,2017.09.27,더 없이 좋은 PVC 와 가성소다,"39,000원",매수,SK증권,I001_20170926095655_2501138.pdf
친환경,한화케미칼,2017.08.11,"기초소재, 기타부문 호조로 영업이익 성장","41,000원",매수,키움증권,한화케미칼 - 2분기 리뷰1.pdf
친환경,한화케미칼,2017.08.11,"안정적 이익 기조, 여전히 저평가","45,000원",매수,메리츠종금증권,20170811070555_168.pdf
친환경,한화케미칼,2017.07.24,구조적으로 좋아지는 PVC와 가성소다,"42,000원",매수,HI투자증권,[23215257]_009830.pdf
친환경,한화케미칼,2017.07.17,하반기가 더욱 기대되는 화학사업부문,"39,000원",매수,메리츠종금증권,[009830_170717]노우호_137_기업분석_한화케미칼.pdf
친환경,한화케미칼,2017.07.04,화성 계열의 분투,"33,000원",매수,SK증권,I001_20170703141204_2501138.pdf
친환경,한화케미칼,2017.05.12,"제품가격 강세 지속, 견조한 실적 흐름 예상 ","34,000원",매수,키움증권,한화케미칼 - 1분기 리뷰0.pdf
친환경,한화케미칼,2017.05.12,화학과 태양광부문 이익 모멘텀 장착 ,"39,000원",매수,메리츠종금증권,[009830_170512]노우호_78_기업분석_한화케미칼.pdf
친환경,한화케미칼,2017.04.10,1Q17 preview: 호실적이되 기대에는 미치지 못하는… ,"28,000원",매수,SK증권,I001_20170409102130_2501138.pdf
친환경,한화케미칼,2017.04.10,이익의 급증과 이어지는 개선 추이,"33,000원",매수,NH투자증권,NH투자20170410한화케미칼.pdf
친환경,한화케미칼,2017.02.24,"4Q16 Review: 예상대로 화학부문 선방,","39,000 원",매수,메리츠종금증권,20170224072024_32.pdf
친환경,한화케미칼,2017.02.24,화학부문 호조 지속될 전망,"32,000원",매수,키움증권,한화케미칼 - 4분기 리뷰1.pdf
친환경,한화케미칼,2017.01.09,4Q16 preview: 희석되는 큐셀 효과 ,"28,000 원",매수,SK증권,I001_20170108020224_25011380.pdf
친환경,한화케미칼,2016.11.11,"4분기까지 화학부문 호조 전망, 태양광이 변수","32,000원",매수,키움증권,한화케미칼_161111.pdf
친환경,한화케미칼,2016.09.27,단기실적보다는 sustainability,"28,000 원",매수,SK증권,I001_20160926133806_2501138.pdf
친환경,한화케미칼,2016.08.12,스프레드 개선과 태양광 출하 증가로 호실적,"32,000원",매수,키움증권,한화케미칼 - 2분기 리뷰0.pdf
친환경,한화케미칼,2016.06.28,저물어가는 에틸렌 싸이클,"28,000원",매수,SK증권,한화케미칼0.pdf
친환경,한화케미칼,2016.05.13,호실적 배경은 원료가격 하락과 기타부문의 개선,"32,000원",매수,키움증권,한화케미칼 - 1분기 리뷰.pdf
친환경,한화케미칼,2016.02.25,실적 둔화는 일시적 현상으로 판단,"32,000원",매수,키움증권,한화케미칼 - 4분기 리뷰0.pdf
친환경,에코프로,2021.10.08,양극재의 탄생에서부터 재활용까지 올라운드 플레이어,-원,-,SK증권,598779.pdf
친환경,에코프로,2021.08.09,적정가치 2.8조원,-원,-,유안타증권,20210804090234617_1.pdf
친환경,에코프로,2020.10.16,친환경 부문 가파른 성장,"61,000원",매수,하나금융투자,ECO_3Q20_Re.pdf
친환경,에코프로,2020.07.30,"대기오염방지 토탈솔루션 전문기업, 기술력 확보 및 시장 확대를 통한 성장 지속 ",-원,-,나이스디앤비,하드웨어.IT장비_에코프로.pdf
친환경,에코프로,2019.01.18,잘 키운 아들 하나 열 자식 안 부럽다,"43,000원",매수(유지),메리츠종금증권,20190117235818244K_02.pdf
친환경,에코프로,2019.01.03,발빠른 증설이 실적 성장을 가져온다,-원,매수,HI투자증권,[02182419]_086520.pdf
친환경,에코프로,2018.08.20,"CAPA 증설도 빠르게, 실적 성장도 빠르게",-원,매수,HI투자증권,[20072040]_086520.pdf
친환경,에코프로,2018.07.30,"CAPA 증설도 빠르게, 실적 성장도 빠르게",-원,매수,HI투자증권,[30065929]_086520.pdf
친환경,에코프로,2018.07.16,전기차 고출력 NCA 수요 성장 수혜로 실적 점프업 ,-원,매수,HI투자증권,[16070539]_086520.pdf
친환경,에코프로,2018.06.11,전기차 고출력 NCA 수요 성장  수혜로 실적 점프업 ,-원,-,HI투자증권,[11065011]_086520.pdf
친환경,에코프로,2018.05.21,전기차 고출력 NCA 수요 성장 수혜로 실적 점프업,-원,매수,HI투자증권,[21065623]_086520.pdf
친환경,에코프로,2017.03.20,전기차 고출력 NCA 수요 성장 수혜,500원,-,HI투자증권,[20071318]_0865200.pdf
친환경,에코프로,2017.01.03,NCA 양극활 물질 성장의 최대 수혜주,-원,-,HI투자증권,에코프로.pdf
친환경,신성이엔지,2021.03.26,가지 친 나무에 빛이 드리울 시기는,-원,-,한화투자증권,585540.pdf
친환경,신성이엔지,2020.01.29,심기일전,-원,매수,DB금융투자증권,200129_g.pdf
친환경,신성이엔지,2020.01.28,심기일전,-원,매수,DB금융투자증권,20200128_011930_180151_16.pdf
친환경,유니슨,2017.06.28,풍력발전단지 조성 1 위 기업,-원,매수,SK증권,I001_20170625194622_2502058.pdf
서비스업,카카오,2021.11.05,더 높아진 성장성 ,"165,000원",매수(유지),SK증권,600430.pdf
서비스업,카카오,2021.11.05,규제에도 성장은 만발,"158,000원",매수(유지),유안타증권,20211104214656760_1.pdf
서비스업,카카오,2021.11.05,쉬어가도 괜찮아,"190,000원",매수,메리츠증권,600471.pdf
서비스업,카카오,2021.10.20,태풍은 지나가고,"150,000원",매수,유안타증권,20211019160101940_1.pdf
서비스업,카카오,2021.09.02,카카오톡 중심의 구독서비스 확장전략,"175,000원",매수(유지),SK증권,597210.pdf
서비스업,카카오,2021.08.09,청출어람,"150,000원",Hold,유안타증권,20210806110514250_1.pdf
서비스업,카카오,2021.08.09,4 분기 연속 40% 이상 매출성장 기록,"175,000원",매수(유지),SK증권,595768.pdf
서비스업,카카오,2021.06.21,카카오 생태계 한국을 덮다,"190,000원",매수,하나금융투자,0621_kakao_update.pdf
서비스업,카카오,2021.05.07,2021 년에도 걱정없다,"140,000원",매수(유지),SK증권,[카카오] 2021 년에도 걱정없다.pdf
서비스업,카카오,2021.05.07,올라운드 플레이어(All-round Player),"140,000원",매수,하나금융투자,[카카오] 올라운드 플레이어(All-round Player).pdf
서비스업,카카오,2021.04.22,"1Q21 preview, 카카오 모빌리티, 두나무","135,000원",매수(유지),유안타증권,20210421101503690_1.pdf
서비스업,카카오,2021.02.10,수익성 개선이 동반된 성장세 지속 ,"550,000원",매수(유지),SK증권,582754.pdf
서비스업,카카오,2021.02.10,올해도 성장 본능은 멈추지 않는다 ,"530,000원",OutPerform,키움증권,210210_카카오.pdf
서비스업,카카오,2021.02.10,거침없소,"534,000원",매수(유지),유안타증권,20210209160051110_1.pdf
서비스업,카카오,2021.02.10,"21년에도 외형 Up, 수익성 Up","540,000원",매수(유지),DB금융투자,20210210_035720_180337_152.pdf
서비스업,카카오,2021.02.10,성장에 성장을 더하다,"550,000원",매수,하나금융투자,Kakao_0210_.pdf
서비스업,카카오,2021.02.10,통 큰 ‘성장’은 지속된다,"570,000원",매수,메리츠증권,582768.pdf
서비스업,카카오,2021.01.18,21년에도 양질의 성장 지속,"540,000원",매수(유지),DB금융투자,20210118_035720_180337_146.pdf
서비스업,카카오,2021.01.05,기다리면 대박- 웹툰 사업을 중심으로,"446,000원",매수(유지),유안타증권,20201104104855843_1.pdf
서비스업,카카오,2020.12.01,성장의 끝이 없다,"410,000원",매수(유지),유안타증권,20201120111000743_1.pdf
서비스업,카카오,2020.11.30,높은 성장과 수익성 개선의 콜라보,"480,000원",매수,SK증권,577454.pdf
서비스업,카카오,2020.11.09,40%의 놀라운 매출 성장률,"450,000원",매수(유지),한화투자증권,575215.pdf
서비스업,카카오,2020.11.06,이익은 이렇게 극대화하라,"500,000원",매수,메리츠증권,575171.pdf
서비스업,카카오,2020.11.06,카카오의 성장은 여전히 진행형,"420,000원",OutPerform,키움증권,201106_카카오.pdf
서비스업,카카오,2020.11.06,예상대로 높은 성장,"410,000원",매수(유지),유안타증권,20201105111612667_1.pdf
서비스업,카카오,2020.11.06,믿고 보는 실적,"480,000원",매수,하나금융투자,Kakao_1106.pdf
서비스업,카카오,2020.10.12,여전히 성장 구간,"460,000원",매수(유지),DB금융투자,20201012_035720_180337_130.pdf
서비스업,카카오,2020.10.07,다시 눈높이를 높여도 좋을 시점 ,"430,000원",매수(유지),한화투자증권,572343.pdf
서비스업,카카오,2020.09.18,오리지널리티의 기준을 바꾸다,"450,000원",매수,메리츠증권,571258.pdf
서비스업,카카오,2020.08.07,튼튼한 비즈보드 아래 성장하는 신사업과 웹툰,"420,000원",OutPerform,키움증권,200807_카카오.pdf
서비스업,카카오,2020.08.07,1조를 향하여,"440,000원",매수,하나금융투자,KAKAO_0807_1.pdf
서비스업,카카오,2020.08.07,무서운 해외성장 ,"410,000원",매수,유안타증권,20200806154655823_1.pdf
서비스업,카카오,2020.08.07,실적 개선세 지속,"430,000원",매수(유지),DB금융투자,20200807_035720_180337_121.pdf
서비스업,카카오,2020.06.22,광고 이외에 높아진 사업  성공률,"335,000원",매수,유안타증권,20200619143221423_1.pdf
서비스업,카카오,2020.05.22,프리미엄,"280,000원",매수,하나금융투자,kakao_0521_1.pdf
서비스업,카카오,2020.05.21,"신사업 적자축소 구간, 알맞은 속도와 방향성","270,000원",매수(유지),SK증권,561201.pdf
서비스업,카카오,2020.05.21,프리미엄,"280,000원",매수,하나금융투자,kakao_0521_1.pdf
서비스업,카카오,2020.05.08,코로나19로 인한 암보다 명이 더 크다,"250,000원",매수,키움증권,200508_카카오.pdf
서비스업,카카오,2020.05.08,근거 있는 자신감,"240,000원",매수(유지),하나금융투자,kakao_0508_final_1.pdf
서비스업,카카오,2020.04.13,코로나19로 인한 명과 암이 서로 상쇄,"205,000원",매수,키움증권,200413_카카오.pdf
서비스업,카카오,2020.03.25,"코로나19 영향권, 하지만 관전포인트는 유효","210,000원",매수,DB금융투자증권,20200325_035720_180337_102.pdf
서비스업,카카오,2020.02.17,톡보드 성장세 및 금융/콘텐츠 확장에 주목,"210,000원",매수,DB금융투자증권,20200217_035720_180337_96.pdf
서비스업,카카오,2020.02.14,카카오 2.0 시대의 개막,"220,000원",매수,메리츠종금증권,20200213210258667K_02.pdf
서비스업,카카오,2019.10.24,Platform textbook; Sounds like a plan!,"165,000원",매수,SK증권,I001_20191023152903_2502092.pdf
서비스업,카카오,2019.08.09,호황(好況),"180,000원",매수,하나금융투자,kakao_0809_1.pdf
서비스업,카카오,2019.08.09,구조적인 이익 성장기,"170,000원",매수,메리츠종금증권,20190809064007029K_02.pdf
서비스업,카카오,2019.08.09,서프라이즈의 시작,"180,000원",매수,유안타증권,20190808185134930_1.pdf
서비스업,카카오,2019.08.09,본격적인 성장의 시간이 도래,"160,000원",매수,키움증권,190809_카카오.pdf
서비스업,카카오,2019.07.19,"광고+커머스의 동반성장, 카카오뱅크 성장 기대","160,000원",매수,키움증권,190719_카카오_1.pdf
서비스업,카카오,2019.06.25,잠재력의 현실화,"180,000원",매수,유안타증권,20190305145337473_10.pdf
서비스업,카카오,2019.05.21,무엇이 어떻게 기대보다 좋아질까?,"180,000원",매수,유안타증권,20190516103704457_1.pdf
서비스업,카카오,2019.05.10,신사업 매출 증가와 효율적 비용 집행이 견인한 호실적,"150,000원",매수,SK증권,C003_UNIT_20190509112646_2500050.pdf
서비스업,카카오,2019.05.10,'돈 버는' 카카오,"160,000원",매수,메리츠종금증권,20190510060501571K_02.pdf
서비스업,카카오,2019.05.10,실적으로 평가 받자!,"180,000원",매수,유안타증권,20190509182055083_1.pdf
서비스업,카카오,2019.05.10,"높은 매출성장성, 비용 컨트롤까지 더해지면?","160,000원",매수,키움증권,190510_카카오.pdf
서비스업,카카오,2019.04.16,1Q실적보다는 2Q 광고성장 기대치를 높일 시점,"145,000원",매수,키움증권,190416_카카오.pdf
서비스업,카카오,2019.04.16,수면 위로 떠오르다,"180,000원",매수,하나금융투자,kakao_0416_1.pdf
서비스업,카카오,2019.04.03,궤도에 오르다,"180,000원",매수(유지),하나금융투자,kakao_0403_1.pdf
서비스업,카카오,2019.02.15,2019 년 수익성 개선 전망,"135,000원",매수,SK증권,C003_UNIT_20190214094628_2500050.pdf
서비스업,카카오,2019.02.15,"높은 매출성장성, 비용 컨트롤까지 더해지면?","145,000원",매수(유지),키움증권,190215_카카오.pdf
서비스업,카카오,2019.02.15,"높은 매출성장성, 비용 컨트롤까지 더해지면?","145,000원",매수(유지),키움증권,190215_카카오.pdf
서비스업,카카오,2019.01.14,자회사 이익 모멘텀 가시화될 듯,"170,000원",매수,HI투자증권,[13132416]_035720.pdf
서비스업,카카오,2018.12.06,탐방 note : 카풀 가즈아!,"180,000원",매수(유지),메리츠종금증권,20181205180148998K_02.pdf
서비스업,카카오,2018.12.03,선택과 집중으로 영업이익 개선 기대,"155,000원",매수(유지),유안타증권,20181120084714347_1.pdf
서비스업,카카오,2018.11.19,국민 메신저의 커머스시장 침투,"170,000원",매수(유지),HI투자증권,[16211416]_035720.pdf
서비스업,카카오,2018.11.09,신사업 수익모델 장착 기대감 형성,"170,000원",매수(유지),HI투자증권,[08214921]_035720.pdf
서비스업,카카오,2018.11.09,탑라인 성장 기조 확인. 이제 수익성을 확인하자,"135,000원",매수,SK증권,C003_UNIT_20181108092041_2500050.pdf
서비스업,카카오,2018.11.09,역전(逆轉),"180,000원",매수(유지),하나금융투자,kakao_1109_1.pdf
서비스업,카카오,2018.11.09,수익성보다 기분 좋은 카카오 광고의 성장성,"130,000원",매수(유지),키움증권,181109_카카오.pdf
서비스업,카카오,2018.11.09,주력 사업 고성장 확인,"155,000원",매수(유지),유안타증권,20181108140510510_1.pdf
서비스업,카카오,2018.10.05,탐방 note: 서비스의 무한확장 ,"180,000원",매수,메리츠종금증권,20181004201205459K_02.pdf
서비스업,카카오,2018.09.13,잰걸음,"180,000원",매수(유지),하나금융투자,180913_kakao__0_1.pdf
서비스업,카카오,2018.09.05,택시타고 달리고 은행으로 날자,"190,000원",매수(유지),유안타증권,20180904202331637_2.pdf
서비스업,카카오,2018.08.10,"지표들은 긍정적, 수익성은 회복은 시간이 필요","125,000원",MarketPerform,키움증권,180810_카카오.pdf
